18:17:49.376456 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.376520 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.376652 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.376716 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.402603 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.402841 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.651180 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.651447 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.672721 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.672941 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.673035 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.673208 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.160191 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:50.160463 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.181647 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.181881 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:50.181996 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:50.182088 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.668398 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:50.668898 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.689402 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:50.689557 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.689721 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:50.689938 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:51.176395 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:51.177049 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:51.197593 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:51.197759 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:51.197959 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:51.198158 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
